    排名    	　　　学校名称　　　	总分
   156    	　　　广州大学　　　	36.2 
   157    	　　北京工商大学　　	36.1 
   158    	　　河北师范大学　　	36.1 
   159    	　　　三峡大学　　　	36.1 
   160    	　　天津师范大学　　	36.1 
   161    	　　　温州大学　　　	36.1 
   162    	　　安徽工业大学　　	35.9 
   163    	　　河北科技大学　　	35.9 
   164    	　　　青岛大学　　　	35.8 
   165    	　　辽宁工业大学　　	35.7 
   166    	　　上海海事大学　　	35.7 
   167    	　　徐州医科大学　　	35.6 
   168    	　　天津工业大学　　	35.5 
   169    	　　北京体育大学　　	35.4 
   170    	　　四川农业大学　　	35.4 
   171    	　　西安理工大学　　	35.3 
   172    	　　　河南大学　　　	35.2 
   173    	　　武汉工程大学　　	35.2 
   174    	　广州中医药大学　　	35.1 
   175    	　天津中医药大学　　	35.1 
   176    	　　重庆邮电大学　　	35.0 
   177    	　　　济南大学　　　	35.0 
   178    	　　闽南师范大学　　	35.0 
   179    	　　北京建筑大学　　	34.9 
   180    	　　重庆工商大学　　	34.8 
   181    	　　福建农林大学　　	34.8 
   182    	　　青岛科技大学　　	34.8 
   183    	　沈阳航空航天大学　	34.8 
   184    	　　河北农业大学　　	34.7 
   185    	　　江苏师范大学　　	34.7 
   186    	　　浙江农林大学　　	34.7 
   187    	　　北方工业大学　　	34.6 
   188    	　　天津理工大学　　	34.6 
   189    	　西安建筑科技大学　	34.6 
   190    	　　中国计量大学　　	34.5 
   191    	　　长春理工大学　　	34.4 
   192    	　　中国民航大学　　	34.4 
   193    	　　中南民族大学　　	34.4 
   194    	　福建中医药大学　　	34.3 
   195    	　　　海南大学　　　	34.3 
   196    	　　　集美大学　　　	34.3 
   197    	　　　南通大学　　　	34.3 
   198    	　黑龙江中医药大学　	34.2 
   199    	　　湖南农业大学　　	34.2 
   200    	　　辽宁师范大学　　	34.1 
